"Anatomical Structures, Cell Types and Biomarkers Table for Pancreas v1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Martha Campbell-Thompson, Adel Eskaros, Diane Saunders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-6878-1235; 0000-0001-9028-338X; 0000-0002-8849-6746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Al Powers; Clayton Mathews; Angela Kruse; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-1941-5786; 0000-0002-8817-6355; 0000-0001-8776-2769; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Cruickshank, A.H. and Benbow, E.W. (1995), Pathology of the pancreas, 2nd ed.. London UK: Ross, M. H., & Pawlina, W. (2010). Histology: A text and atlas, with correlated cell and molecular biology (6th ed.). Walker, J. T., Saunders, D. C., Brissova, M. & Powers, A. C. The Human Islet: Mini-organ with Mega-impact. Endocr Rev 42(5):605-657 (2021), https://doi.org/10.1210/endrev/bnab010. RNAseq data for markers: PMIDs 27667365, 34376240, 32302527, 33795864, 28965763, 30865899, 35228745, 29950394, 35902743, 27864352, 34702715, 27693023, 31273297, 27667667, 34428183, 33212097, 36113773, 35440614, 27364731, 27667665.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM975.BBTF.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"December 15, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS note: I am building out cell types and biomarkers on just 'Head of pancreas' since that should cover the majority of structures listed below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/9/NOTES,AS/10,AS/10/LABEL,AS/10/ID,AS/10/NOTES,AS/11,AS/11/LABEL,AS/11/ID,AS/12,AS/12/LABEL,AS/12/ID,AS/13,AS/13/LABEL,AS/13/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,CT/2/NOTES,CT/3,CT/3/LABEL,CT/3/ID,CT/4,CT/4/LABEL,CT/4/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BGene/NOTES,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein10/LABEL,BProtein10/ID,BProtein/11/,BProtein/11/LABEL,BProtein/11/ID,BProteoform/1,BProteoform/1/LABEL,BProteoform/1/ID,BProteoform/2,BProteoform/2/LABEL,BProteoform/2/ID,BLipid/1,BLipid/1/LABEL,BLipid/1/ID,BLipid/2,BLipid/2/LABEL,BLipid/2/ID,BMetabolites/1,BMetabolites/1/LABEL,BMetabolites/1/ID,BMetabolites/2,BMetabolites/2LABEL,BMetabolites/2/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES,REF/5,REF/5/DOI,REF/5/NOTES,REF/6,REF/6/DOI,REF/6/NOTES
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic acinus,Pancreatic acinus,UBERON:0001263,,,,,,,,,,,,,,,,,,,,,Pancreas exocrine glandular cell,pancreas exocrine glandular cell,CL:1001599,Acinar cell,pancreatic acinar cell,CL:0002064,,,,,,,,Pancreatic alpha-amylase,AMY2A,HGNC:477,Serine protease 1,PRSS1,HGNC:9475,Chymotrypsinogen B1,CTRB1,HGNC:2521,Chymotrypsin like elastase 3A,CELA3A,HGNC:15944,,,,Keratin 18,KRT18,HGNC:6430,Keratin 8,KRT8,HGNC:6446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Hepatopancreatic sphincter (Sphincter of Oddi),sphincter of hepatopancreatic ampulla,UBERON:0004915,,,,,,,,,,,,,,,Smooth muscle cell,smooth muscle cell,CL:0000192,,,,,,,,,,,"Actin, smooth muscle",ACTA2,HGNC:130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Major duodenal papilla,major duodenal papilla,UBERON:0012271,,,,,,,,,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Ductal epithelial cell,epithelial cell of exocrine pancreas,CL:1001433,,Simple columnar epithelial cell,simple columnar epithelial cell,CL:0000146,,,,CFTR,CFTR,HGNC:1884,Keratin 19,KRT19,HGNC:6436,Keratin 7,KRT7,HGNC:6445,PDX1,PDX1,HGNC:6107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Major duodenal papilla,major duodenal papilla,UBERON:0012271,,,,,,,,,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Ductal epithelial cell,epithelial cell of exocrine pancreas,CL:1001433,,Simple columnar epithelial cell,simple columnar epithelial cell,CL:0000146,,,,Keratin 19,KRT19,HGNC:6436,PDX1,PDX1,HGNC:6107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Hepatopancreatic ampulla,hepatopancreatic ampulla,UBERON:0004913,,,,,,,,,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Ductal epithelial cell,epithelial cell of exocrine pancreas,CL:1001433,,Low columnar epithelial cell,,,,,,Keratin 19,KRT19,HGNC:6436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Interlobular duct,interlobular duct,UBERON:0014716,add to UBERON interlobular duct of pancreas,Intralobular duct,intralobular duct,UBERON:0014719,,Intercalated duct,intercalated duct of pancreas,UBERON:0014726,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Ductal epithelial cell,epithelial cell of exocrine pancreas,CL:1001433,,Low columnar epithelial cell,,,,,,Keratin 19,KRT19,HGNC:6436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Interlobular duct,interlobular duct,UBERON:0014716,add to UBERON interlobular duct of pancreas,Intralobular duct,intralobular duct,UBERON:0014719,,Intercalated duct,intercalated duct of pancreas,UBERON:0014726,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Ductal epithelial cell,epithelial cell of exocrine pancreas,CL:1001433,,Nonmucinous cuboidal epithelial cell,,,,,,Keratin 19,KRT19,HGNC:6436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Interlobular duct,interlobular duct,UBERON:0014716,add to UBERON interlobular duct of pancreas,Intralobular duct,intralobular duct,UBERON:0014719,,Intercalated duct,intercalated duct of pancreas,UBERON:0014726,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Centroacinar cell,pancreatic centro-acinar cell,CL:0002080,,Flat epithelial cells,,,,,,Carbonic anhydrase 2,CA2,HGNC:1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Interlobular duct,interlobular duct,UBERON:0014716,add to UBERON interlobular duct of pancreas,Intralobular duct,intralobular duct,UBERON:0014719,,Intercalated duct,intercalated duct of pancreas,UBERON:0014726,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Pancreatic goblet cell,pancreatic goblet cell,CL:1000322,,,,,,,,Mucin 2,MUC2,HGNC:7512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Interlobular duct,interlobular duct,UBERON:0014716,add to UBERON interlobular duct of pancreas,Intralobular duct,intralobular duct,UBERON:0014719,,Intercalated duct,intercalated duct of pancreas,UBERON:0014726,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,,,,,,,,,,,Advillin,AVIL,HGNC:14188,HPGDS,HPGDS,HGNC:17890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Main pancreatic duct (Duct of Wirsung),Ventral pancreatic duct,UBERON:0001064,Interlobular duct,interlobular duct,UBERON:0014716,add to UBERON interlobular duct of pancreas,Intralobular duct,intralobular duct,UBERON:0014719,,Intercalated duct,intercalated duct of pancreas,UBERON:0014726,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Enterochromaffin cell,type EC enteroendocrine cell,CL:0000577,,,,,,,,Tryptophan hydroxylase 1,TPH1,HGNC:12008,Chromogranin A,CHGA,HGNC:1929,Synaptophysin,SYP,HGNC:11506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Pancreatic ductal tree,pancreatic duct,UBERON:0007329,Accessory pancreatic duct (Duct of Santorini),Dorsal pancreatic duct,UBERON:0005429,Papilla of Santorini,dorsal pancreatic duct,UBERON:0005429,,,,,,,,,,,,,,,Smooth muscle cell,smooth muscle cell,CL:0000192,,,,,,,,,,,"Actin, smooth muscle",ACTA2,HGNC:130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,Extrapancreatic duct,extrapancreatic duct,UBERON:2005346,Common bile duct,common bile duct,UBERON:0001174,,,,,,,,,,,,,,,,,,Ductal cell,pancreatic ductal cell,CL:0002079,Ductal epithelial cell,epithelial cell of exocrine pancreas,CL:1001433,,Tall columnar epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,,,,,,,,,,,,,,,,,,,,,,,,Lymphocyte,lymphocyte,CL:0000542,B lymphocyte,B cell,CL:0000236,,,,,,,,CD20,MS4A1,HGNC:7315,CD19,CD19,HGNC:1633,CD45,PTPRC,HGNC:9666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,,,,,,,,,,,,,,,,,,,,,,,,Lymphocyte,lymphocyte,CL:0000542,T lymphocyte,T cell,CL:0000084,,,,,,,,CD3,CD3E,HGNC:1674,CD8,CD8A,HGNC:1706,CD4,CD4,HGNC:1678,CD45,PTPRC,HGNC:9666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,,,,,,,,,,,,,,,,,,,,,,,,Granulocyte,granulocyte,CL:0000094,Neutrophil,neutrophil,CL:0000775,,,,,,,,ELANE,"Elastase, neutrophil",HGNC:3309,MPO,Myeloperoxidase,HGNC:7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancreas,Pancreas,UBERON:0001264,Dorsal pancreas,dorsal pancreas,UBERON:0009708,Head of pancreas,head of pancreas,UBERON:0001069,Pancreas lobule,pancreatic lobule,UBERON:0007324,Parenchyma of pancreas,parenchyma of pancreas,UBERON:0001978,Exocrine pancreas,exocrine pancreas,UBERON:0000017,,,,,,,,,,,,,,,,,,,,,,,,Macrophage,macrophage,CL:0000235,,,,,,,,,,,CD68,CD68,HGNC:1693,IBA1,AIF1,HGNC:352,CD163,CD163,HGNC:1631,CD206,MRC1,HGNC:7228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
