"Anatomical Structures, Cell Types and Biomarkers Table for Trachea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Gloria Pryhuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-9185-3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Martijn Nawijn; Ellen Quardokus; Gail Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-3372-6521; 0000-0001-7655-4833; 0000-0002-0571-0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"DOI: 10.1038/s41586-020-2922-4; DOI: 10.1152/physrev.00001.2018; DOI: 10.1038/s41586-018-0394-6; DOI:10.1172/jci.insight.90558; DOI: 10.1126/sciadv.aba1983; DOI: 10.7554/eLife.62522; DOI: 10.1164/rccm.201911-2199OC; Gray's Anatomy The Anatomical Basis of Clinical Practice ed.Standring, S. Elsevier. 2021 ISBN:978-0-7020-7705-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM245.PWLJ.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/1/Notes,AS/2,AS/2/LABEL,AS/2/ID,AS/2/Notes,AS/3,AS/3/LABEL,AS/3/ID,AS/3/Notes,AS/4,AS/4/LABEL,AS/4/ID,AS/4/Notes,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/1/NOTES,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/2/NOTES,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/3/NOTES,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/4/NOTES,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/5/NOTES,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/6/NOTES,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/7/NOTES,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/8/NOTES,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/9/NOTES,BGene/10,BGene/10/LABEL,BGene/10/ID,BGene/10/NOTES,,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/1/NOTES,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/2/NOTES,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/3/NOTES,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/4/NOTES,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/5/NOTES,FTU/1,FTU/1/LABEL,FTU/1/ID
trachea,trachea,UBERON:0003126,,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,ciliated columnar cell of tracheobronchial tree,ciliated columnar cell of tracheobronchial tree,CL:0002145,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,FOXJ1,forkhead box J1,HGNC:3816,level 3,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,level 3,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,level 3,RSPH1,radial spoke head component 1,HGNC:12371,level 3,,,,,,CDH1,E-cadherin,HGNC:1748,level 2,FOXJ1,forkhead box J1,HGNC:3816,level 3,CDHR3,cadherin related family member 3,HGNC:26308,level 3,CDHR4,cadherin related family member 4,HGNC:34527,level 3,,,,level 3,,,
trachea,trachea,UBERON:0003126,,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,lung neuroendocrine cell,lung neuroendocrine cell,CL:1000223,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,,,,level 2,ASCL1,achaete-scute family bHLH transcription factor 1,HGNC:738,level 3,GRP,gastrin releasing peptide,HGNC:4605,level 3,CALCA,calcitonin related polypeptide alpha,HGNC:1437,level 3,CHGA,chromogranin A,HGNC:1929,level 3,,,,,,CDH1,E-cadherin,HGNC:1748,level 2,CALCA,calcitonin related polypeptide alpha,HGNC:1437,level 3,GRP,gastrin releasing peptide,HGNC:4605,level 3,CDH18,cadherin 18,HGNC:1757,level 3,NRXN1,neurexin 1,HGNC:8008,level 3,,,
trachea,trachea,UBERON:0003126,,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,tuft cell,brush cell of trachea,CL:0002207,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,POU2F3,POU class 2 homeobox 3,HGNC:19864,level 3,ASCL2,achaete-scute family bHLH transcription factor 2,HGNC:739,level 3,TRPM5,transient receptor potential cation channel subfamily M member 5,HGNC:14323,level 3,DCLK1,doublecortin like kinase 1,HGNC:2700,level 3,,,,,,CDH1,E-cadherin,HGNC:1748,level 2,POU2F3,POU class 2 homeobox 3,HGNC:19864,level 3,DCLK1,doublecortin like kinase 1,HGNC:2700,level 3,TRPM5,transient receptor potential cation channel subfamily M member 5,HGNC:14323,level 3,,,,level 3,,,
trachea,trachea,UBERON:0003126,,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,basal cell of epithelium of trachea,basal cell of epithelium of trachea,CL:1000348,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,TP63,tumor protein p63,HGNC:15979,level 3,KRT5,keratin 5,HGNC:6442,level 3,NGFR,nerve growth factor receptor,HGNC:7809,level 3,,,,level 3,,,,,,CDH1,E-cadherin,HGNC:1748,level 2,TP63,tumor protein p63,HGNC:15979,level 3,KRT5,keratin 5,HGNC:6442,level 3,NGFR,nerve growth factor,HGNC:7809,level 3,TRPC6,transient receptor potential cation channel subfamily C member 6,HGNC:12338,level 3,,,
trachea,trachea,UBERON:0003126,,tracheal epithelium,epithelium of trachea,UBERON:0001901,,,,,,,,,,tracheal goblet cell,tracheal goblet cell,CL:1000329,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,level 3,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,level 3,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,level 3,TFF2,trefoil factor 2,HGNC:11756,level 3,,,,,,CDH1,E-cadherin,HGNC:1748,level 2,AGR2,"anterior gradient 2, protein disulphide isomerase family member",HGNC:328,level 3,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,level 3,SLC4A11,solute carrier family 4 member 11,HGNC:16438,level 3,PCDH7,protocadherin 7,HGNC:8659,level 3,,,
trachea,trachea,UBERON:0003126,,smooth muscle of trachea,smooth muscle of trachea,UBERON:0003387,,trachealis,trachealis,UBERON:0006680,,,,,,tracheobronchial smooth muscle cell,tracheobronchial smooth muscle cell,CL:0019019,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 2,DES,desmin,HGNC:2770,level 2,CNN1,calponin 1,HGNC:2155,level 3,MYH11,myosin heavy chain 11,HGNC:7569,level 3,PLN,phospholamban,HGNC:9080,level 3,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,level 3,FAM83D,family with sequence similarity 83 member D,HGNC:16122,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 3,TAGLN,transgelin,HGNC:11553,level 3,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,level 3,CNN1,calponin 1,HGNC:2155,level 3,,,,,,,
trachea,trachea,UBERON:0003126,,submucosa of trachea,submucosa of trachea,UBERON:0002202,,tracheal submucosal gland,trachea gland,UBERON:0005203,,submucosal gland acini,submucosal gland acini,UBERON:8600012,,serous cell of epithelium of trachea,serous cell of epithelium of trachea,CL:1000330,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,LYZ,lysozyme,HGNC:6740,level 3,PRR4,proline rich 4,HGNC:18020,level 3,LPO,lactoperoxidase,HGNC:6678,level 3,LTF,lactotransferrin,HGNC:6720,level 3,,,,level 3,,CDH1,E-cadherin,HGNC:1748,level 2,LYZ,lysozyme,HGNC:6740,level 3,LTF,lactotransferrin,HGNC:6720,level 3,,,,level 3,,,,level 3,submucosa of trachea,submucosa of trachea,UBERON:0002202
trachea,trachea,UBERON:0003126,,submucosa of trachea,submucosa of trachea,UBERON:0002202,,tracheal submucosal gland,trachea gland,UBERON:0005203,,submucosal gland collecting duct,submucosal gland collecting duct,UBERON:8600013,,airway submucosal gland collecting duct epithelial cell,airway submucosal gland collecting duct epithelial cell,CL:4033023,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,PLUNC,BPI Fold Containing Family A Member 1,HGNC:15749,level 3,MIA,MIA SH3 domain containing,HGNC:7076,level 3,ALDH1A3,aldehyde dehydrogenase 1 family member A3,HGNC:409,level 3,RARRES1,retinoic acid receptor responder 1,HGNC:9867,level 3,,,,level 3,,CDH1,E-cadherin,HGNC:1748,level 2,BPIFA1,BPI Fold Containing Family A Member 1,HGNC:15749,level 3,,,,level 3,,,,level 3,,,,level 3,submucosa of trachea,submucosa of trachea,UBERON:0002202
trachea,trachea,UBERON:0003126,,submucosa of trachea,submucosa of trachea,UBERON:0002202,,tracheal submucosal gland,trachea gland,UBERON:0005203,,terminal ciliated ducts for tracheal submucosal gland,terminal ciliated ducts for tracheal submucosal gland,UBERON:8600011,,ciliated cell of terminal ciliated ducts of submucosal glands,ciliated cell of terminal ciliated ducts of submucosal glands,LMHA:00142,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,FOXJ1,forkhead box J1,HGNC:3816,level 3,TUBA1A,tubulin alpha 1a,HGNC:20766,level 3,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,level 3,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,level 3,RSPH1,radial spoke head component 1,HGNC:12371,level 3,,CDH1,E-cadherin,HGNC:1748,level 2,FOXJ1,forkhead box J1,HGNC:3816,level 3,TUBA1A,tubulin alpha 1a,HGNC:20766,level 3,,,,level 3,,,,level 3,submucosa of trachea,submucosa of trachea,UBERON:0002202
trachea,trachea,UBERON:0003126,,submucosa of trachea,submucosa of trachea,UBERON:0002202,,tracheal submucosal gland,trachea gland,UBERON:0005203,,submucosal gland collecting duct,submucosal gland collecting duct,UBERON:8600013,,airway submucosal gland duct basal cell,airway submucosal gland duct basal cell,CL:4033024,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,TP63,tumor protein p63,HGNC:15979,level 3,KRT5,keratin 5,HGNC:6442,level 3,FOXC1,forkhead box C1,HGNC:3800,level 3,KRT14,keratin 14,HGNC:6416,level 3,CTNNB1,catenin beta 1,HGNCL2514,level 3,,CDH1,E-cadherin,HGNC:1748,level 2,TP63,tumor protein p63,HGNC:15979,level 3,KRT5,keratin 5,HGNC:6442,level 3,FOXC1,forkhead box C1,HGNC:3800,level 3,KRT14,keratin 14,HGNC:6416,level 3,submucosa of trachea,submucosa of trachea,UBERON:0002202
trachea,trachea,UBERON:0003126,,submucosa of trachea,submucosa of trachea,UBERON:0002202,,tracheal submucosal gland,trachea gland,UBERON:0005203,,submucosal gland acini,submucosal gland acini,UBERON:8600012,,mucus secreting cell of trachea gland,mucus secreting cell of trachea gland,CL:4033020,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,TSPAN1,tetraspanin 1,HGNC:20657,level 2,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,level 3,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,level 3,AGR2,"anterior gradient 2, protein disulphide isomerase family member",HGNC:328,level 3,,,,level 3,,,,level 3,,CDH1,E-cadherin,HGNC:1748,level 2,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,level 3,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,level 3,,,,level 3,,,,level 3,submucosa of trachea,submucosa of trachea,UBERON:0002202
trachea,trachea,UBERON:0003126,,submucosa of trachea,submucosa of trachea,UBERON:0002202,,tracheal submucosal gland,trachea gland,UBERON:0005203,,submucosal gland acini,submucosal gland acini,UBERON:8600012,,myoepithelial cell of trachea gland,myoepithelial cell of trachea gland,CL:4033021,,CDH1,CDH1,HGNC:1748,level 1,EPCAM,EPCAM,HGNC:11529,level 1,ELF3,E74 like ETS transcription factor 3,HGNC:3318,level 1,FXYD3,FXYD domain containing ion transport regulator 3,HGNC:4027,level 1,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 3,MYH11,myosin heavy chain 11,HGNC:7569,level 3,KRT14,keratin 14,HGNC:6416,level 3,KRT5,keratin 5,HGNC:6442,level 3,CNN1,calponin 1,HGNC:2155,level 3,,,,,,CDH1,E-cadherin,HGNC:1748,level 2,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 3,MYH11,myosin heavy chain 11,HGNC:7569,level 3,KRT14,keratin 14,HGNC:6416,level 3,,,,level 3,submucosa of trachea,submucosa of trachea,UBERON:0002202
trachea,trachea,UBERON:0003126,,tracheal cartilage,trachea cartilage,UBERON:0003604,,carina of trachea,carina of trachea,UBERON:0006679,,,,,,tracheobronchial chondrocyte,tracheobronchial chondrocyte,CL:0019002,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,COL2A1,collagen type II alpha 1 chain,HGNC:2200,level 3,,,,level 2,,,,,,,,level 3,,,,level 3,,,,level 3,,,,level 3,,COL2A1,collagen type II alpha 1 chain,HGNC:2200,level 3,SOX9,SRY-box transcription factor 9,HGNC:11204,level 3,,,,level 3,,,,level 3,,,,level 2,,,
trachea,trachea,UBERON:0003126,,trachea cartilage,trachea cartilage,UBERON:0003604,,,,,,,,,,tracheobronchial chondrocyte,tracheobronchial chondrocyte,CL:0019002,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,COL2A1,collagen type II alpha 1 chain,HGNC:2200,level 3,,,,level 2,,,,,,,,level 3,,,,level 3,,,,level 3,,,,level 3,,COL2A1,collagen type II alpha 1 chain,HGNC:2200,level 3,SOX9,SRY-box transcription factor 9,HGNC:11204,level 3,,,,level 3,,,,level 3,,,,level 2,,,
trachea,trachea,UBERON:0003126,,trachea connective tissue,trachea connective tissue,UBERON:0003571,,trachea non-cartilage connective tissue,trachea non-cartilage connective tissue,UBERON:0009644,,,,,,,,,Connective Tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collagens,,level 2,,,,level 2,,,,level 2,,,,level 2,,,,level 2,,,
trachea,trachea,UBERON:0003126,,trachea connective tissue,trachea connective tissue,UBERON:0003571,,trachea elastic tissue,trachea elastic tissue,UBERON:0003617,,,,,,,,,Connective Tissue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elastin,,level 2,,,,level 2,,,,level 2,,,,level 2,,,,level 2,,,
trachea,trachea,UBERON:0003126,,trachea connective tissue,trachea connective tissue,UBERON:0003571,,,,,,,,,,perichondrial fibroblast,perichondrial fibroblast,CL:4033025,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,COL6A3,collagen type VI alpha 3 chain,HGNC:2213,level 2,FBLN1,fibulin 1,HGNC:3600,level 2,LGR4,leucine rich repeat containing G protein-coupled receptor 4,HGNC:13299,level 3,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,level 3,FLNB,filamin B,HGNC:3755,level 3,FGFR2,fibroblast growth factor receptor 2,HGNC:3689,level 3,,,,,,FBLN1,fibulin 1,HGNC:3600,level 2,LGR4,leucine rich repeat containing G protein-coupled receptor 4,HGNC:13299,level 3,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,level 3,FLNB,filamin B,HGNC:3755,level 3,FGFR2,fibroblast growth factor receptor 2,HGNC:3689,level 3,,,
bronchial vein,bronchial vein,UBERON:0001592,,respiratory system venous endothelium,respiratory system venous endothelium,UBERON:0004849,,,,,,,,,,vein endothelial cell of respiratory system,vein endothelial cell of respiratory system,CL:4033008,,CLDN5,claudin 5,HGNC:2047,level 2,NOTCH4,NOTCH4,HGNC:7884,level 2,CLEC14A,C-type lectin domain containing 14A,HGNC:19832,level 2,ECSCR,endothelial cell surface expressed chemotaxis and apoptosis regulator,HGNC:35454,level 2,EFNB4,EPH receptor B4,HGNC:3395,level 3,Nr2F2,nuclear receptor subfamily 2 group F member 2,HGNC:7976,level 3,ACKR1,atypical chemokine receptor 1 (Duffy blood group),HGNC:4035,level 3,,,,level 3,,,,level 3,,,,,,PECAM1,platelet endothelial cell adhesion molecule,HGNC:8823,level 2,VWF,von Willebrand factor,HGNC:12726,level 3,EMCN,endomucin,HGNC:16041,level 3,ACKR1,atypical chemokine receptor 1 (Duffy blood group),HGNC:4035,level 3,,,,level 3,,,
bronchial vein,bronchial vein,UBERON:0001592,,venous system smooth muscle,respiratory system venous smooth muscle,UBERON:0012418,,,,,,,,,,blood vessel smooth muscle cell,blood vessel smooth muscle cell,CL:0019018,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 2,DES,desmin,HGNC:2770,level 2,NOTCH3,notch receptor 3,HGNC:7883,level 3,HEY2,hes related family bHLH transcription factor with YRPW motif 2,HGNC:4881,level 3,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,level 3,ITGA7,integrin subunit alpha 7,HGNC:6143,level 3,MYH11,myosin heavy chain 11,HGNC:7569,,,ACTA2,ACTA2,HGNC:130,level 3,ITGA7,integrin subunit alpha 7,HGNC:6143,level 3,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,level 3,,,,level 3,,,,,,,
bronchial artery,bronchial artery,UBERON:0002040,,respiratory system arterial endothelium,respiratory system arterial endothelium,UBERON:0004848,,,,,,,,,,endothelial cell of artery,endothelial cell of artery,CL:1000413,,CLDN5,claudin 5,HGNC:2047,level 2,NOTCH4,NOTCH4,HGNC:7884,level 2,CLEC14A,C-type lectin domain containing 14A,HGNC:19832,level 2,ECSCR,endothelial cell surface expressed chemotaxis and apoptosis regulator,HGNC:35454,level 2,EFNB2,ephrin B2,HGNC:3227,level 3,GJA5,gap junction protein alpha 5,HGNC:4279,level 3,IGFBP3,insulin like growth factor binding protein 3,HGNC:5472,level 3,BMX,BMX non-receptor tyrosine kinase,HGNC:1079,level 3,DKK2,dickkopf WNT signaling pathway inhibitor 2,HGNC:2892,level 3,,,,,,PECAM1,platelet endothelial cell adhesion molecule,HGNC:8823,level 2,VWF,von Willebrand factor,HGNC:12726,level 3,EFNB2,ephrin B2,HGNC:3227,level 3,,,,level 3,,,,level 3,,,
bronchial artery,bronchial artery,UBERON:0002040,,arterial system smooth muscle,respiratory system arterial smooth muscle,UBERON:0012416,,,,,,,,,,blood vessel smooth muscle cell,blood vessel smooth muscle cell,CL:0019018,,COL1A2,collagen type I alpha 2 chain,HGNC:2198,level 1,DCN,decorin,HGNC:2705,level 1,MFAP4,microfibril associated protein 4,HGNC:7035,level 1,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,level 2,DES,desmin,HGNC:2770,level 2,NOTCH3,notch receptor 3,HGNC:7883,level 3,HEY2,hes related family bHLH transcription factor with YRPW motif 2,HGNC:4881,level 3,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,level 3,ITGA7,integrin subunit alpha 7,HGNC:6143,level 3,MYH11,myosin heavy chain 11,HGNC:7569,,,ACTA2,ACTA2,HGNC:130,level 3,ITGA7,integrin subunit alpha 7,HGNC:6143,level 3,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,level 3,,,,level 3,,,,,,,