Crosswalk of Azimuth annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,,,,,
Author ORCID(s):,0000-0001-7655-4833,,,,,
Reviewer(s):,"Bruce Herr II, Katy Borner",,,,,
Reviewer ORCID(s):,"0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
General Publication(s):,https://azimuth.hubmapconsortium.org/,,,,,
Data DOI:,https://doi.org/10.48539/HBM257.FFGJ.978,,,,,
Date:,"December 15, 2024",,,,,
Version number:,v1.1,,,,,
Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match
Heart_L2,UBERON:0000948,Adipocyte,AZ:0000001,adipocyte,CL:0000136,skos:exactMatch
Heart_L2,UBERON:0000948,Arterial Endothelial,AZ:0000002,endothelial cell of artery,CL:1000413,skos:exactMatch
Heart_L2,UBERON:0000948,Atrial Cardiomyocyte,AZ:0000003,regular atrial cardiac myocyte,CL:0002129,skos:exactMatch
Heart_L2,UBERON:0000948,B,AZ:0000004,B cell,CL:0000236,skos:exactMatch
Heart_L2,UBERON:0000948,Capillary Endothelial,AZ:0000005,capillary endothelial cell,CL:0002144,skos:exactMatch
Heart_L2,UBERON:0000948,Endocardial,AZ:0000006,endocardial cell,CL:0002350,skos:exactMatch
Heart_L2,UBERON:0000948,Endothelial,AZ:0000007,endothelial cell,CL:0000115,skos:exactMatch
Heart_L2,UBERON:0000948,Fibroblast,AZ:0000008,fibroblast,CL:0000057,skos:exactMatch
Heart_L2,UBERON:0000948,ILC,AZ:0000009,innate lymphoid cell,CL:0001065,skos:exactMatch
Heart_L2,UBERON:0000948,Lymphatic Endothelial,AZ:0000010,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
Heart_L2,UBERON:0000948,Macrophage,AZ:0000011,macrophage,CL:0000235,skos:exactMatch
Heart_L2,UBERON:0000948,Mast,AZ:0000012,mast cell,CL:0000097,skos:exactMatch
Heart_L2,UBERON:0000948,Mesothelial,AZ:0000013,mesothelial cell,CL:0000077,skos:exactMatch
Heart_L2,UBERON:0000948,Monocyte/cDC,AZ:0000014,monocyte-derived dendritic cell,CL:0011031,skos:exactMatch
Heart_L2,UBERON:0000948,Neuronal,AZ:0000015,Schwann cell,CL:0002573,skos:exactMatch
Heart_L2,UBERON:0000948,NK,AZ:0000016,natural killer cell,CL:0000623,skos:exactMatch
Heart_L2,UBERON:0000948,Pericyte,AZ:0000017,pericyte,CL:0000669,skos:exactMatch
Heart_L2,UBERON:0000948,Smooth Muscle,AZ:0000018,smooth muscle cell,CL:0000192,skos:exactMatch
Heart_L2,UBERON:0000948,T,AZ:0000019,T cell,CL:0000084,skos:exactMatch
Heart_L2,UBERON:0000948,Venous Endothelial,AZ:0000020,endothelial cell of venule,CL:1000414,skos:exactMatch
Heart_L2,UBERON:0000948,Ventricular Cardiomycoyte,AZ:0000021,regular ventricular cardiac myocyte,CL:0002131,skos:exactMatch
Kidney_L3,UBERON:0002113,Afferent / Efferent Arteriole Endothelial,AZ:0000022,endothelial cell of arteriole:afferent/efferent,CL:1000412,skos:narrowMatch
Kidney_L3,UBERON:0002113,Ascending Thin Limb,AZ:0000023,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:exactMatch
Kidney_L3,UBERON:0002113,Ascending Vasa Recta Endothelial,AZ:0000024,vasa recta ascending limb cell,CL:1001131,skos:exactMatch
Kidney_L3,UBERON:0002113,B,AZ:0000025,B cell,CL:0000236,skos:exactMatch
Kidney_L3,UBERON:0002113,Classical Dendritic,AZ:0000026,conventional dendritic cell,CL:0000990,skos:exactMatch
Kidney_L3,UBERON:0002113,Connecting Tubule,AZ:0000027,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch
Kidney_L3,UBERON:0002113,Connecting Tubule Intercalated Type A,AZ:0000028,kidney connecting tubule alpha-intercalated cell,CL:4030020,skos:exactMatch
Kidney_L3,UBERON:0002113,Connecting Tubule Principal,AZ:0000029,kidney connecting tubule principal cell,CL:4030018,skos:exactMatch
Kidney_L3,UBERON:0002113,Cortical Collecting Duct Intercalated Type A,AZ:0000030,kidney cortex collecting duct intercalated cell,CL:1000715,skos:exactMatch
Kidney_L3,UBERON:0002113,Cortical Collecting Duct Principal,AZ:0000031,kidney cortex collecting duct principal cell,CL:1000714,skos:exactMatch
Kidney_L3,UBERON:0002113,Cortical Thick Ascending Limb,AZ:0000032,kidney loop of Henle cortical thick ascending limb epithelial cell,CL:1001109,skos:exactMatch
Kidney_L3,UBERON:0002113,Cortical Vascular Smooth Muscle / Pericyte,AZ:0000033,renal interstitial pericyte,CL:1001318,skos:exactMatch
Kidney_L3,UBERON:0002113,Cycling Mononuclear Phagocyte,AZ:0000034,mononuclear phagocyte,CL:0000113,skos:exactMatch
Kidney_L3,UBERON:0002113,Descending Thin Limb Type 1,AZ:0000035,kidney loop of Henle short descending thin limb epithelial cell,CL:4030012,skos:exactMatch
Kidney_L3,UBERON:0002113,Descending Thin Limb Type 2,AZ:0000036,kidney loop of Henle long descending thin limb outer medulla epithelial cell,CL:4030013,skos:exactMatch
Kidney_L3,UBERON:0002113,Descending Thin Limb Type 3,AZ:0000037,kidney loop of Henle long descending thin limb inner medulla epithelial cell,CL:4030014,skos:exactMatch
Kidney_L3,UBERON:0002113,Descending Vasa Recta Endothelial,AZ:0000038,vasa recta descending limb cell,CL:1001285,skos:exactMatch
Kidney_L3,UBERON:0002113,Distal Convoluted Tubule Type 1,AZ:0000039,epithelial cell of early distal convoluted tubule,CL:4030016,skos:exactMatch
Kidney_L3,UBERON:0002113,Distal Convoluted Tubule Type 2,AZ:0000040,epithelial cell of late distal convoluted tubule,CL:4030017,skos:exactMatch
Kidney_L3,UBERON:0002113,Fibroblast,AZ:0000041,kidney interstitial fibroblast,CL:1000692,skos:exactMatch
Kidney_L3,UBERON:0002113,Glomerular Capillary Endothelial,AZ:0000042,glomerular capillary endothelial cell,CL:1001005,skos:exactMatch
Kidney_L3,UBERON:0002113,Inner Medullary Collecting Duct,AZ:0000043,kidney inner medulla collecting duct principal cell,CL:1000718,skos:exactMatch
Kidney_L3,UBERON:0002113,Intercalated Type B,AZ:0000044,renal beta-intercalated cell,CL:0002201,skos:exactMatch
Kidney_L3,UBERON:0002113,Lymphatic Endothelial,AZ:0000045,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
Kidney_L3,UBERON:0002113,M2 Macrophage,AZ:0000046,alternatively activated macrophage,CL:0000890,skos:exactMatch
Kidney_L3,UBERON:0002113,Macula Densa,AZ:0000047,macula densa epithelial cell,CL:1000850,skos:exactMatch
Kidney_L3,UBERON:0002113,Mast,AZ:0000048,mast cell,CL:0000097,skos:exactMatch
Kidney_L3,UBERON:0002113,Medullary Fibroblast,AZ:0000049,renal medullary fibroblast,CL:4030022,skos:exactMatch
Kidney_L3,UBERON:0002113,Medullary Thick Ascending Limb,AZ:0000050,kidney loop of Henle medullary thick ascending limb epithelial cell,CL:1001108,skos:exactMatch
Kidney_L3,UBERON:0002113,Mesangial,AZ:0000051,mesangial cell,CL:0000650,skos:exactMatch
Kidney_L3,UBERON:0002113,Monocyte-derived,AZ:0000052,monocyte-derived dendritic cell,CL:0011031,skos:exactMatch
Kidney_L3,UBERON:0002113,Natural Killer T,AZ:0000053,mature NK T cell,CL:0000814,skos:exactMatch
Kidney_L3,UBERON:0002113,Neutrophil,AZ:0000054,neutrophil,CL:0000775,skos:exactMatch
Kidney_L3,UBERON:0002113,Non-classical monocyte,AZ:0000055,non-classical monocyte,CL:0000875,skos:exactMatch
Kidney_L3,UBERON:0002113,Outer Medullary Collecting Duct Intercalated Type A,AZ:0000056,kidney outer medulla collecting duct intercalated cell,CL:1000717,skos:exactMatch
Kidney_L3,UBERON:0002113,Outer Medullary Collecting Duct Principal,AZ:0000057,kidney outer medulla collecting duct principal cell,CL:1000716,skos:exactMatch
Kidney_L3,UBERON:0002113,Papillary Tip Epithelial,AZ:0000058,papillary tips cell,CL:1000597,skos:exactMatch
Kidney_L3,UBERON:0002113,Parietal Epithelial,AZ:0000059,parietal epithelial cell,CL:1000452,skos:exactMatch
Kidney_L3,UBERON:0002113,Peritubular Capilary Endothelial,AZ:0000060,peritubular capillary endothelial cell,CL:1001033,skos:exactMatch
Kidney_L3,UBERON:0002113,Plasma,AZ:0000061,plasma cell,CL:0000786,skos:exactMatch
Kidney_L3,UBERON:0002113,Plasmacytoid Dendritic,AZ:0000062,"plasmacytoid dendritic cell, human",CL:0001058,skos:exactMatch
Kidney_L3,UBERON:0002113,Podocyte,AZ:0000063,podocyte,CL:0000653,skos:exactMatch
Kidney_L3,UBERON:0002113,Proximal Tubule Epithelial Segment 1,AZ:0000064,epithelial cell of proximal tubule segment 1,CL:4030009,skos:exactMatch
Kidney_L3,UBERON:0002113,Proximal Tubule Epithelial Segment 2,AZ:0000065,epithelial cell of proximal tubule segment 2,CL:4030010,skos:exactMatch
Kidney_L3,UBERON:0002113,Proximal Tubule Epithelial Segment 3,AZ:0000066,epithelial cell of proximal tubule segment 3,CL:4030011,skos:exactMatch
Kidney_L3,UBERON:0002113,Renin-positive Juxtaglomerular Granular,AZ:0000067,kidney granular cell,CL:0000648,skos:exactMatch
Kidney_L3,UBERON:0002113,Schwann / Neural,AZ:0000068,Schwann cell,CL:0002573,skos:exactMatch
Kidney_L3,UBERON:0002113,T,AZ:0000069,T cell,CL:0000084,skos:exactMatch
Kidney_L3,UBERON:0002113,Vascular Smooth Muscle / Pericyte,AZ:0000070,renal interstitial pericyte,CL:1001318,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Adventitial fibroblasts,AZ:0000071,alveolar type 2 fibroblast cell,CL:4028006,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Alveolar fibroblasts,AZ:0000072,alveolar type 1 fibroblast cell,CL:4028004,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Alveolar macrophages,AZ:0000073,alveolar macrophage,CL:0000583,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Alveolar M_ CCL3+,AZ:0000074,CCL3-positive alveolar macrophage,CL:4033041,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Alveolar M_ MT-positive,AZ:0000075,metallothionein-positive alveolar macrophage,CL:4033042,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Alveolar M_ proliferating,AZ:0000076,alveolar macrophage:proliferating,CL:0000583,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,AT1,AZ:0000077,type I pneumocyte,CL:0002062,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,AT2,AZ:0000078,type II pneumocyte,CL:0002063,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,AT2 proliferating,AZ:0000079,type II pneumocyte:proliferating,CL:0002063,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,B cells,AZ:0000080,B cell,CL:0000236,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Basal resting,AZ:0000081,respiratory basal cell:resting,CL:0002633,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,CD4 T cells,AZ:0000082,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,CD8 T cells,AZ:0000083,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Classical monocytes,AZ:0000084,classical monocyte,CL:0000860,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Club (nasal),AZ:0000085,club cell:nasal,CL:0000158,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Club (non-nasal),AZ:0000086,club cell:non-nasal,CL:0000158,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,DC1,AZ:0000087,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,DC2,AZ:0000088,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Deuterosomal,AZ:0000089,deuterosomal cell,CL:4033044,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,EC aerocyte capillary,AZ:0000090,alveolar capillary type 2 endothelial cell,CL:4028003,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,EC arterial,AZ:0000091,pulmonary artery endothelial cell,CL:1001568,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,EC general capillary,AZ:0000092,alveolar capillary type 1 endothelial cell,CL:4028002,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,EC venous pulmonary,AZ:0000093,vein endothelial cell of respiratory system:pulmonary vein,CL:4033008,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,EC venous systemic,AZ:0000094,vein endothelial cell of respiratory system:bronchial vein,CL:4033008,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Fibromyocytes,AZ:0000095,fibroblast of lung:fibromyocyte,CL:0002553,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Goblet (bronchial),AZ:0000096,tracheobronchial goblet cell,CL:0019003,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Goblet (nasal),AZ:0000097,nasal mucosa goblet cell,CL:0002480,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Goblet (subsegmental),AZ:0000098,lung goblet cell,CL:1000143,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Interstitial M_ perivascular,AZ:0000099,lung interstitial macrophage,CL:4033043,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Ionocyte,AZ:0000100,pulmonary ionocyte,CL:0017000,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Lymphatic EC differentiating,AZ:0000101,endothelial cell of respiratory system lymphatic vessel:differentiating,CL:0009086,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Lymphatic EC mature,AZ:0000102,endothelial cell of respiratory system lymphatic vessel:mature,CL:0009086,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Lymphatic EC proliferating,AZ:0000103,endothelial cell of respiratory system lymphatic vessel:proliferating,CL:0009086,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Mast cells,AZ:0000104,mast cell,CL:0000097,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Mesothelium,AZ:0000105,mesothelial cell of pleura,CL:1000491,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Migratory DCs,AZ:0000106,lung migratory dendritic cell,CL:4033045,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Monocyte derived M_,AZ:0000107,lung macrophage:monocyte derived,CL:1001603,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Multiciliated (nasal),AZ:0000108,multi-ciliated epithelial cell:nasal,CL:0005012,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Multiciliated (non-nasal),AZ:0000109,ciliated columnar cell of tracheobronchial tree,CL:0002145,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Myofibroblasts,AZ:0000110,myofibroblast cell,CL:0000186,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Neuroendocrine,AZ:0000111,lung neuroendocrine cell,CL:1000223,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,NK cells,AZ:0000112,natural killer cell,CL:0000623,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Non classical monocytes,AZ:0000113,non-classical monocyte,CL:0000875,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Peribronchial fibroblasts,AZ:0000114,pulmonary interstitial fibroblast,CL:0002241,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Pericytes,AZ:0000115,lung pericyte,CL:0009089,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Plasma cells,AZ:0000116,plasma cell,CL:0000786,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Plasmacytoid DCs,AZ:0000117,"plasmacytoid dendritic cell, human",CL:0001058,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,SM activated stress response,AZ:0000118,smooth muscle cell:activated stress response,CL:0000192,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,SMG duct,AZ:0000119,airway submucosal gland collecting duct epithelial cell,CL:4033023,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,SMG mucous,AZ:0000120,mucus secreting cell of bronchus submucosal gland,CL:4033022,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,SMG serous (bronchial),AZ:0000121,serous secreting cell of bronchus submucosal gland,CL:4033005,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,SMG serous (nasal),AZ:0000122,serous secreting cell:nasal,CL:0000313,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Smooth muscle,AZ:0000123,smooth muscle cell,CL:0000192,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Subpleural fibroblasts,AZ:0000124,mesothelial fibroblast,CL:4023054,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,Suprabasal,AZ:0000125,respiratory suprabasal cell,CL:4033048,skos:exactMatch
Lung_v2_finest_level,UBERON:0002048,T cells proliferating,AZ:0000126,T cell:proliferating,CL:0000084,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Transitional Club AT2,AZ:0000127,club cell:transitional alveolar type 2 epithelial cell,CL:0000158,skos:narrowMatch
Lung_v2_finest_level,UBERON:0002048,Tuft,AZ:0000128,brush cell of trachebronchial tree,CL:0002075,skos:exactMatch
Liver_L2,UBERON:0002107,B,AZ:0000129,B cell,CL:0000236,skos:exactMatch
Liver_L2,UBERON:0002107,CD4 T,AZ:0000130,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
Liver_L2,UBERON:0002107,CD8 T,AZ:0000131,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
Liver_L2,UBERON:0002107,Cholangiocyte,AZ:0000132,cholangiocyte,CL:1000488,skos:exactMatch
Liver_L2,UBERON:0002107,DC1,AZ:0000133,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
Liver_L2,UBERON:0002107,DC2,AZ:0000134,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
Liver_L2,UBERON:0002107,Erythrocyte,AZ:0000135,erythrocyte,CL:0000232,skos:exactMatch
Liver_L2,UBERON:0002107,Hepatocyte,AZ:0000136,hepatocyte,CL:0000182,skos:exactMatch
Liver_L2,UBERON:0002107,HSC,AZ:0000137,hepatic stellate cell,CL:0000632,skos:exactMatch
Liver_L2,UBERON:0002107,Inflammatory Macrophage,AZ:0000138,inflammatory macrophage,CL:0000863,skos:exactMatch
Liver_L2,UBERON:0002107,Mast,AZ:0000139,mast cell,CL:0000097,skos:exactMatch
Liver_L2,UBERON:0002107,Monocyte,AZ:0000140,monocyte,CL:0000576,skos:exactMatch
Liver_L2,UBERON:0002107,Myofibroblast,AZ:0000141,myofibroblast cell,CL:0000186,skos:exactMatch
Liver_L2,UBERON:0002107,NK,AZ:0000142,natural killer cell,CL:0000623,skos:exactMatch
Liver_L2,UBERON:0002107,NK_CD56bright,AZ:0000143,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch
Liver_L2,UBERON:0002107,Noninflammatory Macrophage,AZ:0000144,alternatively activated macrophage,CL:0000890,skos:exactMatch
Liver_L2,UBERON:0002107,pDC,AZ:0000145,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
Liver_L2,UBERON:0002107,Plasma,AZ:0000146,plasma cell,CL:0000786,skos:exactMatch
Liver_L2,UBERON:0002107,Portal Fibroblast,AZ:0000147,hepatic portal fibroblast,CL:0009100,skos:exactMatch
Liver_L2,UBERON:0002107,Proliferating T/NK,AZ:0000148,mature NK T cell:proliferating,CL:0000814,skos:narrowMatch
Liver_L2,UBERON:0002107,Sinusoidal Endothelial,AZ:0000149,endothelial cell of hepatic sinusoid,CL:1000398,skos:exactMatch
Liver_L2,UBERON:0002107,Vascual Central Venous Endothelial,AZ:0000150,endothelial cell of central vein of liver,CL:4033061,skos:exactMatch
Liver_L2,UBERON:0002107,Vascual Portal Endothelial,AZ:0000151,endothelial cell of hepatic portal vein,CL:0009094,skos:exactMatch
Liver_L1,UBERON:0002107,B,AZ:0000152,B cell,CL:0000236,skos:exactMatch
Liver_L1,UBERON:0002107,Cholangiocyte,AZ:0000153,cholangiocyte,CL:1000488,skos:exactMatch
Liver_L1,UBERON:0002107,Endothelial,AZ:0000154,endothelial cell,CL:0000115,skos:exactMatch
Liver_L1,UBERON:0002107,Hepatocyte,AZ:0000155,hepatocyte,CL:0000182,skos:exactMatch
Liver_L1,UBERON:0002107,HSC/mFB,AZ:0000156,hepatic stellate cell,CL:0000632,skos:exactMatch
Liver_L1,UBERON:0002107,Myeloid,AZ:0000157,myeloid cell,CL:0000763,skos:exactMatch
Liver_L1,UBERON:0002107,Plasma,AZ:0000158,plasma cell,CL:0000786,skos:exactMatch
Liver_L1,UBERON:0002107,T/NK,AZ:0000159,mature NK T cell,CL:0000814,skos:exactMatch
Heart_L1,UBERON:0000948,Adipocyte,AZ:0000160,adipocyte,CL:0000136,skos:exactMatch
Heart_L1,UBERON:0000948,B,AZ:0000161,B cell,CL:0000236,skos:exactMatch
Heart_L1,UBERON:0000948,Cardiomyocyte,AZ:0000162,cardiac muscle cell,CL:0000746,skos:exactMatch
Heart_L1,UBERON:0000948,Endothelial,AZ:0000163,endothelial cell,CL:0000115,skos:exactMatch
Heart_L1,UBERON:0000948,Fibroblast,AZ:0000164,fibroblast,CL:0000057,skos:exactMatch
Heart_L1,UBERON:0000948,Lymphatic Endothelial,AZ:0000165,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
