Crosswalk of Azimuth annotated cells to Cell Ontology,,,,,,
Heart_L1,UBERON:0000948,Mast,AZ:0000166,mast cell,CL:0000097,skos:exactMatch
Heart_L1,UBERON:0000948,Mesothelial,AZ:0000167,mesothelial cell,CL:0000077,skos:exactMatch
Heart_L1,UBERON:0000948,Myeloid,AZ:0000168,myeloid cell,CL:0000763,skos:exactMatch
Heart_L1,UBERON:0000948,Neuronal,AZ:0000169,neuron,CL:0000540,skos:exactMatch
Heart_L1,UBERON:0000948,NK/T,AZ:0000170,mature NK T cell,CL:0000814,skos:exactMatch
Heart_L1,UBERON:0000948,Pericyte,AZ:0000171,pericyte,CL:0000669,skos:exactMatch
Heart_L1,UBERON:0000948,Smooth Muscle,AZ:0000172,smooth muscle cell,CL:0000192,skos:exactMatch
Kidney_L1,UBERON:0002113,Ascending Thin Limb,AZ:0000173,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:exactMatch
Kidney_L1,UBERON:0002113,Connecting Tubule,AZ:0000174,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch
Kidney_L1,UBERON:0002113,Descending Thin Limb,AZ:0000175,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,skos:exactMatch
Kidney_L1,UBERON:0002113,Distal Convoluted Tubule,AZ:0000176,kidney distal convoluted tubule epithelial cell,CL:1000849,skos:exactMatch
Kidney_L1,UBERON:0002113,Endothelial,AZ:0000177,endothelial cell,CL:0000115,skos:exactMatch
Kidney_L1,UBERON:0002113,Fibroblast,AZ:0000178,fibroblast,CL:0000057,skos:exactMatch
Kidney_L1,UBERON:0002113,Immune,AZ:0000179,leukocyte,CL:0000738,skos:exactMatch
Kidney_L1,UBERON:0002113,Intercalated,AZ:0000180,renal intercalated cell,CL:0005010,skos:exactMatch
Kidney_L1,UBERON:0002113,Papillary Tip Epithelial,AZ:0000181,papillary tips cell,CL:1000597,skos:exactMatch
Kidney_L1,UBERON:0002113,Parietal Epithelial,AZ:0000182,parietal epithelial cell,CL:1000452,skos:exactMatch
Kidney_L1,UBERON:0002113,Podocyte,AZ:0000183,podocyte,CL:0000653,skos:exactMatch
Kidney_L1,UBERON:0002113,Principal,AZ:0000184,renal principal cell,CL:0005009,skos:exactMatch
Kidney_L1,UBERON:0002113,Proximal Tubule,AZ:0000185,epithelial cell of proximal tubule,CL:0002306,skos:exactMatch
Kidney_L1,UBERON:0002113,Schwann,AZ:0000186,Schwann cell,CL:0002573,skos:exactMatch
Kidney_L1,UBERON:0002113,Thick Ascending Limb,AZ:0000187,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,skos:exactMatch
Kidney_L1,UBERON:0002113,Vascular Smooth Muscle / Pericyte,AZ:0000188,renal interstitial pericyte,CL:1001318,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,ASDC_mDC,AZ:0000189,myeloid dendritic cell:AXL+,CL:0000782,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,ASDC_pDC,AZ:0000190,plasmacytoid dendritic cell:AXL+,CL:0000784,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B intermediate kappa,AZ:0000191,transitional stage B cell:kappa light chain,CL:0000818,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B intermediate lambda,AZ:0000192,transitional stage B cell:lambda light chain,CL:0000818,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B memory kappa,AZ:0000193,memory B cell:kappa light chain,CL:0000787,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B memory lambda,AZ:0000194,memory B cell:lambda light chain,CL:0000787,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B naive kappa,AZ:0000195,naive B cell:kappa light chain,CL:0000788,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B naive lambda,AZ:0000196,naive B cell:lambda light chain,CL:0000788,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD14 Mono,AZ:0000197,"CD14-positive, CD16-negative classical monocyte",CL:0002057,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD16 Mono,AZ:0000198,"CD14-low, CD16-positive monocyte",CL:0002396,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD4 CTL,AZ:0000199,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD4 Naive,AZ:0000200,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD4 Proliferating,AZ:0000201,"activated CD4-positive, alpha-beta T cell:proliferating",CL:0000896,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TCM_1,AZ:0000202,"CD4-positive, alpha-beta memory T cell:1",CL:0000897,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TCM_2,AZ:0000203,"CD4-positive, alpha-beta memory T cell:2",CL:0000897,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TCM_3,AZ:0000204,"CD4-positive, alpha-beta memory T cell:3",CL:0000897,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_1,AZ:0000205,"effector CD4-positive, alpha-beta T cell:1",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_2,AZ:0000206,"effector CD4-positive, alpha-beta T cell:2",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_3,AZ:0000207,"effector CD4-positive, alpha-beta T cell:3",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_4,AZ:0000208,"effector CD4-positive, alpha-beta T cell:4",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 Naive,AZ:0000209,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 Naive_2,AZ:0000210,"naive thymus-derived CD8-positive, alpha-beta T cell:2",CL:0000900,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 Proliferating,AZ:0000211,"activated CD8-positive, alpha-beta T cell:proliferating",CL:0000906,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TCM_1,AZ:0000212,"CD8-positive, alpha-beta memory T cell:1",CL:0000909,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TCM_2,AZ:0000213,"CD8-positive, alpha-beta memory T cell:2",CL:0000909,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TCM_3,AZ:0000214,"CD8-positive, alpha-beta memory T cell:3",CL:0000909,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TEM_1,AZ:0000215,"effector CD8-positive, alpha-beta T cell:1",CL:0001050,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TEM_2,AZ:0000216,"effector CD8-positive, alpha-beta T cell:2",CL:0001050,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TEM_3,AZ:0000217,"effector CD8-positive, alpha-beta T cell:3",CL:0001050,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TEM_4,AZ:0000218,"effector CD8-positive, alpha-beta T cell:4",CL:0001050,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TEM_5,AZ:0000219,"effector CD8-positive, alpha-beta T cell:5",CL:0001050,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 TEM_6,AZ:0000220,"effector CD8-positive, alpha-beta T cell:6",CL:0001050,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,cDC1,AZ:0000221,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,cDC2_1,AZ:0000222,CD1c-positive myeloid dendritic cell:1,CL:0002399,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,cDC2_2,AZ:0000223,CD1c-positive myeloid dendritic cell:2,CL:0002399,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,dnT_1,AZ:0000224,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell:1",CL:0000935,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,dnT_2,AZ:0000225,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell:2",CL:0000935,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,Eryth,AZ:0000226,erythroid lineage cell,CL:0000764,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,gdT_1,AZ:0000227,gamma-delta T cell:1,CL:0000798,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,gdT_2,AZ:0000228,gamma-delta T cell:2,CL:0000798,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,gdT_3,AZ:0000229,gamma-delta T cell:3,CL:0000798,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,gdT_4,AZ:0000230,gamma-delta T cell:4,CL:0000798,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,HSPC,AZ:0000231,hematopoietic precursor cell,CL:0008001,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,ILC,AZ:0000232,innate lymphoid cell,CL:0001065,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,MAIT,AZ:0000233,mucosal invariant T cell,CL:0000940,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,NK Proliferating,AZ:0000234,natural killer cell:proliferating,CL:0000623,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,NK_1,AZ:0000235,"CD16-positive, CD56-dim natural killer cell, human:1",CL:0000939,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,NK_2,AZ:0000236,"CD16-positive, CD56-dim natural killer cell, human:2",CL:0000939,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,NK_3,AZ:0000237,"CD16-positive, CD56-dim natural killer cell, human:3",CL:0000939,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,NK_4,AZ:0000238,"CD16-positive, CD56-dim natural killer cell, human:4",CL:0000939,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,NK_CD56bright,AZ:0000239,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,pDC,AZ:0000240,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,Plasma,AZ:0000241,plasma cell,CL:0000786,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,Plasmablast,AZ:0000242,plasmablast,CL:0000980,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,Platelet,AZ:0000243,platelet,CL:0000233,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,Treg Memory,AZ:0000244,memory regulatory T cell,CL:0002678,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,Treg Naive,AZ:0000245,naive regulatory T cell,CL:0002677,skos:exactMatch
Human_PBMC_L1,UBERON:0000178,Mono,AZ:0000246,monocyte,CL:0000576,skos:exactMatch
Human_PBMC_L1,UBERON:0000178,CD4 T,AZ:0000247,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
Human_PBMC_L1,UBERON:0000178,CD8 T,AZ:0000248,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
Human_PBMC_L1,UBERON:0000178,NK,AZ:0000249,natural killer cell,CL:0000623,skos:exactMatch
Human_PBMC_L1,UBERON:0000178,B,AZ:0000250,mature B cell,CL:0000785,skos:exactMatch
Human_PBMC_L1,UBERON:0000178,other T,AZ:0000251,mature T cell:other,CL:0002419,skos:narrowMatch
Human_PBMC_L1,UBERON:0000178,DC,AZ:0000252,dendritic cell,CL:0000451,skos:exactMatch
Kidney_L2,UBERON:0002113,Afferent / Efferent Arteriole Endothelial,AZ:0000253,endothelial cell of arteriole:afferent/efferent,CL:1000412,skos:narrowMatch
Kidney_L2,UBERON:0002113,Ascending Thin Limb,AZ:0000254,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:exactMatch
Kidney_L2,UBERON:0002113,Ascending Vasa Recta Endothelial,AZ:0000255,vasa recta ascending limb cell,CL:1001131,skos:exactMatch
Kidney_L2,UBERON:0002113,B,AZ:0000256,B cell,CL:0000236,skos:exactMatch
Kidney_L2,UBERON:0002113,Classical Dendritic,AZ:0000257,conventional dendritic cell,CL:0000990,skos:exactMatch
Kidney_L2,UBERON:0002113,Connecting Tubule,AZ:0000258,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch
Kidney_L2,UBERON:0002113,Cortical Collecting Duct Intercalated Type A,AZ:0000259,kidney cortex collecting duct intercalated cell,CL:1000715,skos:exactMatch
Kidney_L2,UBERON:0002113,Cortical Collecting Duct Principal,AZ:0000260,kidney cortex collecting duct principal cell,CL:1000714,skos:exactMatch
Kidney_L2,UBERON:0002113,Cortical Thick Ascending Limb,AZ:0000261,kidney loop of Henle cortical thick ascending limb epithelial cell,CL:1001109,skos:exactMatch
Kidney_L2,UBERON:0002113,Cortical Vascular Smooth Muscle / Pericyte,AZ:0000262,renal interstitial pericyte,CL:1001318,skos:exactMatch
Kidney_L2,UBERON:0002113,Cycling Mononuclear Phagocyte,AZ:0000263,mononuclear phagocyte,CL:0000113,skos:exactMatch
Kidney_L2,UBERON:0002113,Descending Thin Limb Type 1,AZ:0000264,kidney loop of Henle short descending thin limb epithelial cell,CL:4030012,skos:exactMatch
Kidney_L2,UBERON:0002113,Descending Thin Limb Type 2,AZ:0000265,kidney loop of Henle long descending thin limb outer medulla epithelial cell,CL:4030013,skos:exactMatch
Kidney_L2,UBERON:0002113,Descending Thin Limb Type 3,AZ:0000266,kidney loop of Henle long descending thin limb inner medulla epithelial cell,CL:4030014,skos:exactMatch
Kidney_L2,UBERON:0002113,Descending Vasa Recta Endothelial,AZ:0000267,vasa recta descending limb cell,CL:1001285,skos:exactMatch
Kidney_L2,UBERON:0002113,Distal Convoluted Tubule,AZ:0000268,kidney distal convoluted tubule epithelial cell,CL:1000849,skos:exactMatch
Kidney_L2,UBERON:0002113,Fibroblast,AZ:0000269,fibroblast,CL:0000057,skos:exactMatch
Kidney_L2,UBERON:0002113,Glomerular Capillary Endothelial,AZ:0000270,glomerular capillary endothelial cell,CL:1001005,skos:exactMatch
Kidney_L2,UBERON:0002113,Inner Medullary Collecting Duct,AZ:0000271,kidney inner medulla collecting duct epithelial cell,CL:1000547,skos:exactMatch
Kidney_L2,UBERON:0002113,Intercalated Type B,AZ:0000272,renal beta-intercalated cell,CL:0002201,skos:exactMatch
Kidney_L2,UBERON:0002113,Lymphatic Endothelial,AZ:0000273,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
Kidney_L2,UBERON:0002113,M2 Macrophage,AZ:0000274,alternatively activated macrophage,CL:0000890,skos:exactMatch
Kidney_L2,UBERON:0002113,Macula Densa,AZ:0000275,macula densa epithelial cell,CL:1000850,skos:exactMatch
Kidney_L2,UBERON:0002113,Mast,AZ:0000276,mast cell,CL:0000097,skos:exactMatch
Kidney_L2,UBERON:0002113,Medullary Fibroblast,AZ:0000277,renal medullary fibroblast,CL:4030022,skos:exactMatch
Kidney_L2,UBERON:0002113,Medullary Thick Ascending Limb,AZ:0000278,kidney loop of Henle medullary thick ascending limb epithelial cell,CL:1001108,skos:exactMatch
Kidney_L2,UBERON:0002113,Mesangial,AZ:0000279,mesangial cell,CL:0000650,skos:exactMatch
Kidney_L2,UBERON:0002113,Monocyte-derived,AZ:0000280,monocyte-derived dendritic cell,CL:0011031,skos:exactMatch
Kidney_L2,UBERON:0002113,Natural Killer T,AZ:0000281,mature NK T cell,CL:0000814,skos:exactMatch
Kidney_L2,UBERON:0002113,Neutrophil,AZ:0000282,neutrophil,CL:0000775,skos:exactMatch
Kidney_L2,UBERON:0002113,Non-classical monocyte,AZ:0000283,non-classical monocyte,CL:0000875,skos:exactMatch
Kidney_L2,UBERON:0002113,Outer Medullary Collecting Duct Intercalated Type A,AZ:0000284,kidney outer medulla collecting duct intercalated cell,CL:1000717,skos:exactMatch
Kidney_L2,UBERON:0002113,Outer Medullary Collecting Duct Principal,AZ:0000285,kidney outer medulla collecting duct principal cell,CL:1000716,skos:exactMatch
Kidney_L2,UBERON:0002113,Papillary Tip Epithelial,AZ:0000286,papillary tips cell,CL:1000597,skos:exactMatch
Kidney_L2,UBERON:0002113,Parietal Epithelial,AZ:0000287,parietal epithelial cell,CL:1000452,skos:exactMatch
Kidney_L2,UBERON:0002113,Peritubular Capilary Endothelial,AZ:0000288,peritubular capillary endothelial cell,CL:1001033,skos:exactMatch
Kidney_L2,UBERON:0002113,Plasma,AZ:0000289,plasma cell,CL:0000786,skos:exactMatch
Kidney_L2,UBERON:0002113,Plasmacytoid Dendritic,AZ:0000290,"plasmacytoid dendritic cell, human",CL:0001058,skos:exactMatch
Kidney_L2,UBERON:0002113,Podocyte,AZ:0000291,podocyte,CL:0000653,skos:exactMatch
Kidney_L2,UBERON:0002113,Proximal Tubule Epithelial Segment 1,AZ:0000292,epithelial cell of proximal tubule segment 1,CL:4030009,skos:exactMatch
Kidney_L2,UBERON:0002113,Proximal Tubule Epithelial Segment 2,AZ:0000293,epithelial cell of proximal tubule segment 2,CL:4030010,skos:exactMatch
Kidney_L2,UBERON:0002113,Proximal Tubule Epithelial Segment 3,AZ:0000294,epithelial cell of proximal tubule segment 3,CL:4030011,skos:exactMatch
Kidney_L2,UBERON:0002113,Renin-positive Juxtaglomerular Granular,AZ:0000295,kidney granular cell,CL:0000648,skos:exactMatch
Kidney_L2,UBERON:0002113,Schwann / Neural,AZ:0000296,Schwann cell,CL:0002573,skos:exactMatch
Kidney_L2,UBERON:0002113,T,AZ:0000297,T cell,CL:0000084,skos:exactMatch
Kidney_L2,UBERON:0002113,Vascular Smooth Muscle / Pericyte,AZ:0000298,renal interstitial pericyte,CL:1001318,skos:exactMatch
Lung_v2_L1,UBERON:0002048,Immune,AZ:0000299,leukocyte,CL:0000738,skos:exactMatch
Lung_v2_L1,UBERON:0002048,Epithelial,AZ:0000300,epithelial cell,CL:0000066,skos:exactMatch
Lung_v2_L1,UBERON:0002048,Endothelial,AZ:0000301,endothelial cell,CL:0000115,skos:exactMatch
Lung_v2_L1,UBERON:0002048,Stroma,AZ:0000302,stromal cell,CL:0000499,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Myeloid,AZ:0000303,myeloid leukocyte,CL:0000766,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Lymphoid,AZ:0000304,lymphocyte,CL:0000542,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Alveolar epithelium,AZ:0000305,epithelial cell of alveolus of lung,CL:0010003,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Airway epithelium,AZ:0000306,respiratory epithelial cell,CL:0002368,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Blood vessels,AZ:0000307,blood vessel endothelial cell,CL:0000071,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Fibroblast lineage,AZ:0000308,fibroblast,CL:0000057,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Smooth muscle,AZ:0000309,smooth muscle cell,CL:0000192,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Submucosal Gland,AZ:0000310,seromucus secreting cell:submucosal gland,CL:0000159,skos:narrowMatch
Lung_v2_L2,UBERON:0002048,Lymphatic EC,AZ:0000311,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
Lung_v2_L2,UBERON:0002048,Mesothelium,AZ:0000312,mesothelial cell,CL:0000077,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Macrophages,AZ:0000313,macrophage,CL:0000235,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Innate lymphoid cell NK,AZ:0000314,natural killer cell,CL:0000623,skos:exactMatch
Lung_v2_L3,UBERON:0002048,AT2,AZ:0000315,type II pneumocyte,CL:0002063,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Basal,AZ:0000316,basal cell,CL:0000646,skos:exactMatch
Lung_v2_L3,UBERON:0002048,EC venous,AZ:0000317,vein endothelial cell,CL:0002543,skos:exactMatch
Lung_v2_L3,UBERON:0002048,T cell lineage,AZ:0000318,T cell,CL:0000084,skos:exactMatch
Lung_v2_L3,UBERON:0002048,EC arterial,AZ:0000319,endothelial cell of artery,CL:1000413,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Fibroblasts,AZ:0000320,fibroblast,CL:0000057,skos:exactMatch
Lung_v2_L3,UBERON:0002048,AT1,AZ:0000321,type I pneumocyte,CL:0002062,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Multiciliated lineage,AZ:0000322,multi-ciliated epithelial cell,CL:0005012,skos:exactMatch
Lung_v2_L3,UBERON:0002048,B cell lineage,AZ:0000323,lymphocyte of B lineage,CL:0000945,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Secretory,AZ:0000324,secretory cell,CL:0000151,skos:exactMatch
Lung_v2_L3,UBERON:0002048,SM activated stress response,AZ:0000325,smooth muscle cell:activated stress response,CL:0000192,skos:narrowMatch
Lung_v2_L3,UBERON:0002048,Monocytes,AZ:0000326,monocyte,CL:0000576,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Submucosal Secretory,AZ:0000327,seromucus secreting cell:submucosal gland,CL:0000159,skos:narrowMatch
Lung_v2_L3,UBERON:0002048,EC capillary,AZ:0000328,capillary endothelial cell,CL:0002144,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Lymphatic EC mature,AZ:0000329,endothelial cell of lymphatic vessel:mature,CL:0002138,skos:narrowMatch
Lung_v2_L3,UBERON:0002048,Rare,AZ:0000330,cell:rare,CL:0000000,skos:narrowMatch
Lung_v2_L3,UBERON:0002048,Lymphatic EC differentiating,AZ:0000331,endothelial cell of lymphatic vessel:differentiating,CL:0002138,skos:narrowMatch
Lung_v2_L3,UBERON:0002048,Dendritic cells,AZ:0000332,dendritic cell,CL:0000451,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Myofibroblasts,AZ:0000333,myofibroblast cell,CL:0000186,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Mast cells,AZ:0000334,mast cell,CL:0000097,skos:exactMatch
Lung_v2_L3,UBERON:0002048,Fibromyocytes,AZ:0000335,fibroblast:fibromyocyte,CL:0000057,skos:narrowMatch
Lung_v2_L3,UBERON:0002048,Lymphatic EC proliferating,AZ:0000336,endothelial cell of lymphatic vessel:proliferating,CL:0002138,skos:narrowMatch
Lung_v2_L4,UBERON:0002048,Alveolar macrophages,AZ:0000337,alveolar macrophage,CL:0000583,skos:exactMatch
Lung_v2_L4,UBERON:0002048,NK cells,AZ:0000338,natural killer cell,CL:0000623,skos:exactMatch
